Datekey,DayofMonth,MonthNumber,FirstOfMonth,ShortMonth,MonthName,MonthNumberYear,week,WeekNumber,DayOfWeek,QuarterFull,Qrt,QuarterYear,Year,FirstOfYear
6/22/2016,22,6,6/1/2016,Jun,June,2016-6,26,25,4,Quarter 2,Q 2,Feb-16,2016,1/1/2016
6/23/2016,23,6,6/1/2016,Jun,June,2016-6,26,25,5,Quarter 2,Q 2,Feb-16,2016,1/1/2016
6/24/2016,24,6,6/1/2016,Jun,June,2016-6,26,25,6,Quarter 2,Q 2,Feb-16,2016,1/1/2016
6/25/2016,25,6,6/1/2016,Jun,June,2016-6,26,25,7,Quarter 2,Q 2,Feb-16,2016,1/1/2016
6/26/2016,26,6,6/1/2016,Jun,June,2016-6,27,25,1,Quarter 2,Q 2,Feb-16,2016,1/1/2016
6/27/2016,27,6,6/1/2016,Jun,June,2016-6,27,26,2,Quarter 2,Q 2,Feb-16,2016,1/1/2016
6/28/2016,28,6,6/1/2016,Jun,June,2016-6,27,26,3,Quarter 2,Q 2,Feb-16,2016,1/1/2016
6/29/2016,29,6,6/1/2016,Jun,June,2016-6,27,26,4,Quarter 2,Q 2,Feb-16,2016,1/1/2016
6/30/2016,30,6,6/1/2016,Jun,June,2016-6,27,26,5,Quarter 2,Q 2,Feb-16,2016,1/1/2016
7/1/2016,1,7,7/1/2016,Jul,July,2016-7,27,26,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/2/2016,2,7,7/1/2016,Jul,July,2016-7,27,26,7,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/3/2016,3,7,7/1/2016,Jul,July,2016-7,28,26,1,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/4/2016,4,7,7/1/2016,Jul,July,2016-7,28,27,2,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/5/2016,5,7,7/1/2016,Jul,July,2016-7,28,27,3,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/6/2016,6,7,7/1/2016,Jul,July,2016-7,28,27,4,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/7/2016,7,7,7/1/2016,Jul,July,2016-7,28,27,5,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/8/2016,8,7,7/1/2016,Jul,July,2016-7,28,27,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/9/2016,9,7,7/1/2016,Jul,July,2016-7,28,27,7,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/10/2016,10,7,7/1/2016,Jul,July,2016-7,29,27,1,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/11/2016,11,7,7/1/2016,Jul,July,2016-7,29,28,2,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/12/2016,12,7,7/1/2016,Jul,July,2016-7,29,28,3,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/13/2016,13,7,7/1/2016,Jul,July,2016-7,29,28,4,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/14/2016,14,7,7/1/2016,Jul,July,2016-7,29,28,5,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/15/2016,15,7,7/1/2016,Jul,July,2016-7,29,28,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/16/2016,16,7,7/1/2016,Jul,July,2016-7,29,28,7,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/17/2016,17,7,7/1/2016,Jul,July,2016-7,30,28,1,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/18/2016,18,7,7/1/2016,Jul,July,2016-7,30,29,2,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/19/2016,19,7,7/1/2016,Jul,July,2016-7,30,29,3,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/20/2016,20,7,7/1/2016,Jul,July,2016-7,30,29,4,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/21/2016,21,7,7/1/2016,Jul,July,2016-7,30,29,5,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/22/2016,22,7,7/1/2016,Jul,July,2016-7,30,29,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/23/2016,23,7,7/1/2016,Jul,July,2016-7,30,29,7,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/24/2016,24,7,7/1/2016,Jul,July,2016-7,31,29,1,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/25/2016,25,7,7/1/2016,Jul,July,2016-7,31,30,2,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/26/2016,26,7,7/1/2016,Jul,July,2016-7,31,30,3,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/27/2016,27,7,7/1/2016,Jul,July,2016-7,31,30,4,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/28/2016,28,7,7/1/2016,Jul,July,2016-7,31,30,5,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/29/2016,29,7,7/1/2016,Jul,July,2016-7,31,30,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/30/2016,30,7,7/1/2016,Jul,July,2016-7,31,30,7,Quarter 3,Q 3,Mar-16,2016,1/1/2016
7/31/2016,31,7,7/1/2016,Jul,July,2016-7,32,30,1,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/1/2016,1,8,8/1/2016,Aug,August,2016-8,32,31,2,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/2/2016,2,8,8/1/2016,Aug,August,2016-8,32,31,3,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/3/2016,3,8,8/1/2016,Aug,August,2016-8,32,31,4,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/4/2016,4,8,8/1/2016,Aug,August,2016-8,32,31,5,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/5/2016,5,8,8/1/2016,Aug,August,2016-8,32,31,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/6/2016,6,8,8/1/2016,Aug,August,2016-8,32,31,7,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/7/2016,7,8,8/1/2016,Aug,August,2016-8,33,31,1,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/8/2016,8,8,8/1/2016,Aug,August,2016-8,33,32,2,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/9/2016,9,8,8/1/2016,Aug,August,2016-8,33,32,3,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/10/2016,10,8,8/1/2016,Aug,August,2016-8,33,32,4,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/11/2016,11,8,8/1/2016,Aug,August,2016-8,33,32,5,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/12/2016,12,8,8/1/2016,Aug,August,2016-8,33,32,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/13/2016,13,8,8/1/2016,Aug,August,2016-8,33,32,7,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/14/2016,14,8,8/1/2016,Aug,August,2016-8,34,32,1,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/15/2016,15,8,8/1/2016,Aug,August,2016-8,34,33,2,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/16/2016,16,8,8/1/2016,Aug,August,2016-8,34,33,3,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/17/2016,17,8,8/1/2016,Aug,August,2016-8,34,33,4,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/18/2016,18,8,8/1/2016,Aug,August,2016-8,34,33,5,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/19/2016,19,8,8/1/2016,Aug,August,2016-8,34,33,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/20/2016,20,8,8/1/2016,Aug,August,2016-8,34,33,7,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/21/2016,21,8,8/1/2016,Aug,August,2016-8,35,33,1,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/22/2016,22,8,8/1/2016,Aug,August,2016-8,35,34,2,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/23/2016,23,8,8/1/2016,Aug,August,2016-8,35,34,3,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/24/2016,24,8,8/1/2016,Aug,August,2016-8,35,34,4,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/25/2016,25,8,8/1/2016,Aug,August,2016-8,35,34,5,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/26/2016,26,8,8/1/2016,Aug,August,2016-8,35,34,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/27/2016,27,8,8/1/2016,Aug,August,2016-8,35,34,7,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/28/2016,28,8,8/1/2016,Aug,August,2016-8,36,34,1,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/29/2016,29,8,8/1/2016,Aug,August,2016-8,36,35,2,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/30/2016,30,8,8/1/2016,Aug,August,2016-8,36,35,3,Quarter 3,Q 3,Mar-16,2016,1/1/2016
8/31/2016,31,8,8/1/2016,Aug,August,2016-8,36,35,4,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/1/2016,1,9,9/1/2016,Sep,September,2016-9,36,35,5,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/2/2016,2,9,9/1/2016,Sep,September,2016-9,36,35,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/3/2016,3,9,9/1/2016,Sep,September,2016-9,36,35,7,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/4/2016,4,9,9/1/2016,Sep,September,2016-9,37,35,1,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/5/2016,5,9,9/1/2016,Sep,September,2016-9,37,36,2,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/6/2016,6,9,9/1/2016,Sep,September,2016-9,37,36,3,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/7/2016,7,9,9/1/2016,Sep,September,2016-9,37,36,4,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/8/2016,8,9,9/1/2016,Sep,September,2016-9,37,36,5,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/9/2016,9,9,9/1/2016,Sep,September,2016-9,37,36,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/10/2016,10,9,9/1/2016,Sep,September,2016-9,37,36,7,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/11/2016,11,9,9/1/2016,Sep,September,2016-9,38,36,1,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/12/2016,12,9,9/1/2016,Sep,September,2016-9,38,37,2,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/13/2016,13,9,9/1/2016,Sep,September,2016-9,38,37,3,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/14/2016,14,9,9/1/2016,Sep,September,2016-9,38,37,4,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/15/2016,15,9,9/1/2016,Sep,September,2016-9,38,37,5,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/16/2016,16,9,9/1/2016,Sep,September,2016-9,38,37,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/17/2016,17,9,9/1/2016,Sep,September,2016-9,38,37,7,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/18/2016,18,9,9/1/2016,Sep,September,2016-9,39,37,1,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/19/2016,19,9,9/1/2016,Sep,September,2016-9,39,38,2,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/20/2016,20,9,9/1/2016,Sep,September,2016-9,39,38,3,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/21/2016,21,9,9/1/2016,Sep,September,2016-9,39,38,4,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/22/2016,22,9,9/1/2016,Sep,September,2016-9,39,38,5,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/23/2016,23,9,9/1/2016,Sep,September,2016-9,39,38,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/24/2016,24,9,9/1/2016,Sep,September,2016-9,39,38,7,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/25/2016,25,9,9/1/2016,Sep,September,2016-9,40,38,1,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/26/2016,26,9,9/1/2016,Sep,September,2016-9,40,39,2,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/27/2016,27,9,9/1/2016,Sep,September,2016-9,40,39,3,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/28/2016,28,9,9/1/2016,Sep,September,2016-9,40,39,4,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/29/2016,29,9,9/1/2016,Sep,September,2016-9,40,39,5,Quarter 3,Q 3,Mar-16,2016,1/1/2016
9/30/2016,30,9,9/1/2016,Sep,September,2016-9,40,39,6,Quarter 3,Q 3,Mar-16,2016,1/1/2016
10/1/2016,1,10,10/1/2016,Oct,October,2016-10,40,39,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/2/2016,2,10,10/1/2016,Oct,October,2016-10,41,39,1,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/3/2016,3,10,10/1/2016,Oct,October,2016-10,41,40,2,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/4/2016,4,10,10/1/2016,Oct,October,2016-10,41,40,3,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/5/2016,5,10,10/1/2016,Oct,October,2016-10,41,40,4,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/6/2016,6,10,10/1/2016,Oct,October,2016-10,41,40,5,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/7/2016,7,10,10/1/2016,Oct,October,2016-10,41,40,6,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/8/2016,8,10,10/1/2016,Oct,October,2016-10,41,40,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/9/2016,9,10,10/1/2016,Oct,October,2016-10,42,40,1,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/10/2016,10,10,10/1/2016,Oct,October,2016-10,42,41,2,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/11/2016,11,10,10/1/2016,Oct,October,2016-10,42,41,3,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/12/2016,12,10,10/1/2016,Oct,October,2016-10,42,41,4,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/13/2016,13,10,10/1/2016,Oct,October,2016-10,42,41,5,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/14/2016,14,10,10/1/2016,Oct,October,2016-10,42,41,6,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/15/2016,15,10,10/1/2016,Oct,October,2016-10,42,41,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/16/2016,16,10,10/1/2016,Oct,October,2016-10,43,41,1,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/17/2016,17,10,10/1/2016,Oct,October,2016-10,43,42,2,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/18/2016,18,10,10/1/2016,Oct,October,2016-10,43,42,3,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/19/2016,19,10,10/1/2016,Oct,October,2016-10,43,42,4,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/20/2016,20,10,10/1/2016,Oct,October,2016-10,43,42,5,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/21/2016,21,10,10/1/2016,Oct,October,2016-10,43,42,6,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/22/2016,22,10,10/1/2016,Oct,October,2016-10,43,42,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/23/2016,23,10,10/1/2016,Oct,October,2016-10,44,42,1,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/24/2016,24,10,10/1/2016,Oct,October,2016-10,44,43,2,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/25/2016,25,10,10/1/2016,Oct,October,2016-10,44,43,3,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/26/2016,26,10,10/1/2016,Oct,October,2016-10,44,43,4,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/27/2016,27,10,10/1/2016,Oct,October,2016-10,44,43,5,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/28/2016,28,10,10/1/2016,Oct,October,2016-10,44,43,6,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/29/2016,29,10,10/1/2016,Oct,October,2016-10,44,43,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/30/2016,30,10,10/1/2016,Oct,October,2016-10,45,43,1,Quarter 4,Q 4,Apr-16,2016,1/1/2016
10/31/2016,31,10,10/1/2016,Oct,October,2016-10,45,44,2,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/1/2016,1,11,11/1/2016,Nov,November,2016-11,45,44,3,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/2/2016,2,11,11/1/2016,Nov,November,2016-11,45,44,4,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/3/2016,3,11,11/1/2016,Nov,November,2016-11,45,44,5,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/4/2016,4,11,11/1/2016,Nov,November,2016-11,45,44,6,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/5/2016,5,11,11/1/2016,Nov,November,2016-11,45,44,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/6/2016,6,11,11/1/2016,Nov,November,2016-11,46,44,1,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/7/2016,7,11,11/1/2016,Nov,November,2016-11,46,45,2,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/8/2016,8,11,11/1/2016,Nov,November,2016-11,46,45,3,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/9/2016,9,11,11/1/2016,Nov,November,2016-11,46,45,4,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/10/2016,10,11,11/1/2016,Nov,November,2016-11,46,45,5,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/11/2016,11,11,11/1/2016,Nov,November,2016-11,46,45,6,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/12/2016,12,11,11/1/2016,Nov,November,2016-11,46,45,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/13/2016,13,11,11/1/2016,Nov,November,2016-11,47,45,1,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/14/2016,14,11,11/1/2016,Nov,November,2016-11,47,46,2,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/15/2016,15,11,11/1/2016,Nov,November,2016-11,47,46,3,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/16/2016,16,11,11/1/2016,Nov,November,2016-11,47,46,4,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/17/2016,17,11,11/1/2016,Nov,November,2016-11,47,46,5,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/18/2016,18,11,11/1/2016,Nov,November,2016-11,47,46,6,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/19/2016,19,11,11/1/2016,Nov,November,2016-11,47,46,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/20/2016,20,11,11/1/2016,Nov,November,2016-11,48,46,1,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/21/2016,21,11,11/1/2016,Nov,November,2016-11,48,47,2,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/22/2016,22,11,11/1/2016,Nov,November,2016-11,48,47,3,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/23/2016,23,11,11/1/2016,Nov,November,2016-11,48,47,4,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/24/2016,24,11,11/1/2016,Nov,November,2016-11,48,47,5,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/25/2016,25,11,11/1/2016,Nov,November,2016-11,48,47,6,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/26/2016,26,11,11/1/2016,Nov,November,2016-11,48,47,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/27/2016,27,11,11/1/2016,Nov,November,2016-11,49,47,1,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/28/2016,28,11,11/1/2016,Nov,November,2016-11,49,48,2,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/29/2016,29,11,11/1/2016,Nov,November,2016-11,49,48,3,Quarter 4,Q 4,Apr-16,2016,1/1/2016
11/30/2016,30,11,11/1/2016,Nov,November,2016-11,49,48,4,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/1/2016,1,12,12/1/2016,Dec,December,2016-12,49,48,5,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/2/2016,2,12,12/1/2016,Dec,December,2016-12,49,48,6,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/3/2016,3,12,12/1/2016,Dec,December,2016-12,49,48,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/4/2016,4,12,12/1/2016,Dec,December,2016-12,50,48,1,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/5/2016,5,12,12/1/2016,Dec,December,2016-12,50,49,2,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/6/2016,6,12,12/1/2016,Dec,December,2016-12,50,49,3,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/7/2016,7,12,12/1/2016,Dec,December,2016-12,50,49,4,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/8/2016,8,12,12/1/2016,Dec,December,2016-12,50,49,5,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/9/2016,9,12,12/1/2016,Dec,December,2016-12,50,49,6,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/10/2016,10,12,12/1/2016,Dec,December,2016-12,50,49,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/11/2016,11,12,12/1/2016,Dec,December,2016-12,51,49,1,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/12/2016,12,12,12/1/2016,Dec,December,2016-12,51,50,2,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/13/2016,13,12,12/1/2016,Dec,December,2016-12,51,50,3,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/14/2016,14,12,12/1/2016,Dec,December,2016-12,51,50,4,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/15/2016,15,12,12/1/2016,Dec,December,2016-12,51,50,5,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/16/2016,16,12,12/1/2016,Dec,December,2016-12,51,50,6,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/17/2016,17,12,12/1/2016,Dec,December,2016-12,51,50,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/18/2016,18,12,12/1/2016,Dec,December,2016-12,52,50,1,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/19/2016,19,12,12/1/2016,Dec,December,2016-12,52,51,2,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/20/2016,20,12,12/1/2016,Dec,December,2016-12,52,51,3,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/21/2016,21,12,12/1/2016,Dec,December,2016-12,52,51,4,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/22/2016,22,12,12/1/2016,Dec,December,2016-12,52,51,5,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/23/2016,23,12,12/1/2016,Dec,December,2016-12,52,51,6,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/24/2016,24,12,12/1/2016,Dec,December,2016-12,52,51,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/25/2016,25,12,12/1/2016,Dec,December,2016-12,53,51,1,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/26/2016,26,12,12/1/2016,Dec,December,2016-12,53,52,2,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/27/2016,27,12,12/1/2016,Dec,December,2016-12,53,52,3,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/28/2016,28,12,12/1/2016,Dec,December,2016-12,53,52,4,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/29/2016,29,12,12/1/2016,Dec,December,2016-12,53,52,5,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/30/2016,30,12,12/1/2016,Dec,December,2016-12,53,52,6,Quarter 4,Q 4,Apr-16,2016,1/1/2016
12/31/2016,31,12,12/1/2016,Dec,December,2016-12,53,52,7,Quarter 4,Q 4,Apr-16,2016,1/1/2016
1/1/2017,1,1,1/1/2017,Jan,January,2017-1,1,52,1,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/2/2017,2,1,1/1/2017,Jan,January,2017-1,1,1,2,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/3/2017,3,1,1/1/2017,Jan,January,2017-1,1,1,3,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/4/2017,4,1,1/1/2017,Jan,January,2017-1,1,1,4,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/5/2017,5,1,1/1/2017,Jan,January,2017-1,1,1,5,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/6/2017,6,1,1/1/2017,Jan,January,2017-1,1,1,6,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/7/2017,7,1,1/1/2017,Jan,January,2017-1,1,1,7,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/8/2017,8,1,1/1/2017,Jan,January,2017-1,2,1,1,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/9/2017,9,1,1/1/2017,Jan,January,2017-1,2,2,2,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/10/2017,10,1,1/1/2017,Jan,January,2017-1,2,2,3,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/11/2017,11,1,1/1/2017,Jan,January,2017-1,2,2,4,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/12/2017,12,1,1/1/2017,Jan,January,2017-1,2,2,5,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/13/2017,13,1,1/1/2017,Jan,January,2017-1,2,2,6,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/14/2017,14,1,1/1/2017,Jan,January,2017-1,2,2,7,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/15/2017,15,1,1/1/2017,Jan,January,2017-1,3,2,1,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/16/2017,16,1,1/1/2017,Jan,January,2017-1,3,3,2,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/17/2017,17,1,1/1/2017,Jan,January,2017-1,3,3,3,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/18/2017,18,1,1/1/2017,Jan,January,2017-1,3,3,4,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/19/2017,19,1,1/1/2017,Jan,January,2017-1,3,3,5,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/20/2017,20,1,1/1/2017,Jan,January,2017-1,3,3,6,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/21/2017,21,1,1/1/2017,Jan,January,2017-1,3,3,7,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/22/2017,22,1,1/1/2017,Jan,January,2017-1,4,3,1,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/23/2017,23,1,1/1/2017,Jan,January,2017-1,4,4,2,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/24/2017,24,1,1/1/2017,Jan,January,2017-1,4,4,3,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/25/2017,25,1,1/1/2017,Jan,January,2017-1,4,4,4,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/26/2017,26,1,1/1/2017,Jan,January,2017-1,4,4,5,Quarter 1,Q 1,Jan-17,2017,1/1/2017
1/27/2017,27,1,1/1/2017,Jan,January,2017-1,4,4,6,Quarter 1,Q 1,Jan-17,2017,1/1/2017
