",,",,,,,,,,,,,,,,,,,,,,
Stock Item Key,WWI Stock Item ID,Stock Item,Color,Selling Package,Buying Package,Brand,Size,Lead Time Days,Quantity Per Outer,Is Chiller Stock,Barcode,Tax Rate,Unit Price, Recommended Retail Price ,Typical Weight Per Unit,Photo,Discount,Valid From,Valid To,Lineage Key
155,65,RC vintage American toy coupe with remote control (Black) 1/50 scale,Black,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,30, ? 44.850 ,1.7,NULL,,00:00.0,00:00.0,5
156,64,RC vintage American toy coupe with remote control (Red) 1/50 scale,Red,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,30, ? 44.850 ,1.7,NULL,,00:00.0,00:00.0,5
157,63,RC toy sedan car with remote control (Pink) 1/50 scale,N/A,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,25, ? 37.380 ,1.5,NULL,,00:00.0,00:00.0,5
158,62,RC toy sedan car with remote control (Yellow) 1/50 scale,Yellow,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,25, ? 37.380 ,1.5,NULL,,00:00.0,00:00.0,5
159,61,RC toy sedan car with remote control (Green) 1/50 scale,N/A,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,25, ? 37.380 ,1.5,NULL,,00:00.0,00:00.0,5
160,60,RC toy sedan car with remote control (Blue) 1/50 scale,Blue,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,25, ? 37.380 ,1.5,NULL,,00:00.0,00:00.0,5
161,59,RC toy sedan car with remote control (Red) 1/50 scale,Red,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,25, ? 37.380 ,1.5,NULL,,00:00.0,00:00.0,5
162,58,RC toy sedan car with remote control (Black) 1/50 scale,Black,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,25, ? 37.380 ,1.5,NULL,,00:00.0,00:00.0,5
163,57,IT joke mug - hardware: part of the computer that can be kicked (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
164,56,IT joke mug - hardware: part of the computer that can be kicked (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
165,55,IT joke mug - that behavior is by design (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
166,54,IT joke mug - that behavior is by design (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
167,53,IT joke mug - keyboard not found … press F1 to continue (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
168,52,IT joke mug - keyboard not found … press F1 to continue (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
169,51,Developer joke mug - old C developers never die (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
170,50,Developer joke mug - old C developers never die (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
171,49,Developer joke mug - this code was generated by a tool (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
172,48,Developer joke mug - this code was generated by a tool (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
173,47,Developer joke mug - a foo walks into a bar (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
174,46,Developer joke mug - a foo walks into a bar (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
175,45,Developer joke mug - there are 10 types of people in the world (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
176,44,Developer joke mug - there are 10 types of people in the world (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
177,43,Developer joke mug - understanding recursion requires understanding recursion (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
178,42,Developer joke mug - understanding recursion requires understanding recursion (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
179,41,"Developer joke mug - (hip, hip, array) (Black)",Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
180,40,"Developer joke mug - (hip, hip, array) (White)",White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
181,39,Developer joke mug - inheritance is the OO way to become wealthy (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
182,38,Developer joke mug - inheritance is the OO way to become wealthy (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
183,37,Developer joke mug - when your hammer is C++ (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
184,36,Developer joke mug - when your hammer is C++ (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
185,35,Developer joke mug - fun was unexpected at this time (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
186,34,Developer joke mug - fun was unexpected at this time (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
187,33,Developer joke mug - that's a hardware problem (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
188,32,Developer joke mug - that's a hardware problem (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
189,31,Developer joke mug - Oct 31 = Dec 25 (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
190,30,Developer joke mug - Oct 31 = Dec 25 (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
191,29,DBA joke mug - two types of DBAs (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
192,28,DBA joke mug - two types of DBAs (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
193,27,DBA joke mug - SELECT caffeine FROM mug (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
194,26,DBA joke mug - SELECT caffeine FROM mug (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
195,25,DBA joke mug - I will get you in order (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
196,24,DBA joke mug - I will get you in order (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
197,23,DBA joke mug - it depends (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
198,22,DBA joke mug - it depends (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
199,21,DBA joke mug - you might be a DBA if (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
200,20,DBA joke mug - you might be a DBA if (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
201,19,DBA joke mug - daaaaaa-ta (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
202,18,DBA joke mug - daaaaaa-ta (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
203,17,DBA joke mug - mind if I join you? (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
204,16,DBA joke mug - mind if I join you? (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,00:00.0,5
205,15,USB food flash drive - dessert 10 drive variety pack,N/A,Packet,Packet,N/A,N/A,14,1,0,N/A,14,240, ? 358.800 ,0.5,NULL,,00:00.0,00:00.0,5
206,14,USB food flash drive - fortune cookie,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,00:00.0,5
207,13,USB food flash drive - shrimp cocktail,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,00:00.0,5
208,12,USB food flash drive - donut,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,00:00.0,5
209,11,USB food flash drive - cookie,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,00:00.0,5
210,10,USB food flash drive - chocolate bar,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,00:00.0,5
211,9,USB food flash drive - banana,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,00:00.0,5
212,8,USB food flash drive - dim sum 10 drive variety pack,N/A,Packet,Packet,N/A,N/A,14,1,0,N/A,14,240, ? 358.800 ,0.5,NULL,,00:00.0,00:00.0,5
213,7,USB food flash drive - pizza slice,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,00:00.0,5
214,6,USB food flash drive - hot dog,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,00:00.0,5
215,5,USB food flash drive - hamburger,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,00:00.0,5
216,4,USB food flash drive - sushi roll,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,00:00.0,5
217,3,Office cube periscope (Black),Black,Each,Carton,N/A,N/A,14,10,0,N/A,14,18.5, ? 27.660 ,0.25,NULL,,00:00.0,00:00.0,5
218,2,USB rocket launcher (Gray),Gray,Each,Each,N/A,N/A,14,1,0,N/A,14,25, ? 37.380 ,0.3,NULL,,00:00.0,00:00.0,5
219,1,USB missile launcher (Green),N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,25, ? 37.380 ,0.3,NULL,,00:00.0,00:00.0,5
220,221,Novelty chilli chocolates 500g,N/A,Bag,Carton,N/A,500g,3,12,1,8.30E+12,3,14.5, ? 20.740 ,0.5,NULL,,00:00.0,00:00.0,5
221,220,Novelty chilli chocolates 250g,N/A,Bag,Carton,N/A,250g,3,24,1,8.30E+12,3,8.55, ? 12.230 ,0.25,NULL,,00:00.0,00:00.0,5
222,223,Chocolate echidnas 250g,N/A,Bag,Carton,N/A,250g,3,24,1,8.79E+12,3,8.55, ? 12.230 ,0.25,NULL,,00:00.0,00:00.0,5
223,222,Chocolate beetles 250g,N/A,Bag,Carton,N/A,250g,3,24,1,8.79E+12,3,8.55, ? 12.230 ,0.25,NULL,,00:00.0,00:00.0,5
224,225,Chocolate sharks 250g,N/A,Bag,Carton,N/A,250g,3,24,1,8.79E+12,3,8.55, ? 12.230 ,0.25,NULL,,00:00.0,00:00.0,5
225,224,Chocolate frogs 250g,N/A,Bag,Carton,N/A,250g,3,24,1,8.79E+12,3,8.55, ? 12.230 ,0.25,NULL,,00:00.0,00:00.0,5
226,227,White chocolate moon rocks 250g,N/A,Bag,Carton,N/A,250g,3,24,1,8.79E+12,3,8.55, ? 12.230 ,0.25,NULL,,00:00.0,00:00.0,5
227,226,White chocolate snow balls 250g,N/A,Bag,Carton,N/A,250g,3,24,1,8.79E+12,3,8.55, ? 12.230 ,0.25,NULL,,00:00.0,00:00.0,5
228,66,RC big wheel monster truck with remote control (Black) 1/50 scale,Black,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,45, ? 67.280 ,1.8,NULL,,00:00.0,01:00.0,5
229,65,RC vintage American toy coupe with remote control (Black) 1/50 scale,Black,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,30, ? 44.850 ,1.7,NULL,,00:00.0,01:00.0,5
230,64,RC vintage American toy coupe with remote control (Red) 1/50 scale,Red,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,30, ? 44.850 ,1.7,NULL,,00:00.0,01:00.0,5
231,63,RC toy sedan car with remote control (Pink) 1/50 scale,N/A,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,25, ? 37.380 ,1.5,NULL,,00:00.0,01:00.0,5
232,62,RC toy sedan car with remote control (Yellow) 1/50 scale,Yellow,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,25, ? 37.380 ,1.5,NULL,,00:00.0,01:00.0,5
233,61,RC toy sedan car with remote control (Green) 1/50 scale,N/A,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,25, ? 37.380 ,1.5,NULL,,00:00.0,01:00.0,5
234,60,RC toy sedan car with remote control (Blue) 1/50 scale,Blue,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,25, ? 37.380 ,1.5,NULL,,00:00.0,01:00.0,5
235,59,RC toy sedan car with remote control (Red) 1/50 scale,Red,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,25, ? 37.380 ,1.5,NULL,,00:00.0,01:00.0,5
236,58,RC toy sedan car with remote control (Black) 1/50 scale,Black,Each,Each,Northwind,1/50 scale,14,1,0,N/A,14,25, ? 37.380 ,1.5,NULL,,00:00.0,01:00.0,5
237,15,USB food flash drive - dessert 10 drive variety pack,N/A,Packet,Packet,N/A,N/A,14,1,0,N/A,14,240, ? 358.800 ,0.5,NULL,,00:00.0,09:00.0,5
238,14,USB food flash drive - fortune cookie,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,09:00.0,5
239,13,USB food flash drive - shrimp cocktail,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,09:00.0,5
240,12,USB food flash drive - donut,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,09:00.0,5
241,11,USB food flash drive - cookie,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,09:00.0,5
242,10,USB food flash drive - chocolate bar,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,09:00.0,5
243,9,USB food flash drive - banana,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,09:00.0,5
244,8,USB food flash drive - dim sum 10 drive variety pack,N/A,Packet,Packet,N/A,N/A,14,1,0,N/A,14,240, ? 358.800 ,0.5,NULL,,00:00.0,09:00.0,5
245,7,USB food flash drive - pizza slice,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,09:00.0,5
246,6,USB food flash drive - hot dog,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,09:00.0,5
247,5,USB food flash drive - hamburger,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,09:00.0,5
248,4,USB food flash drive - sushi roll,N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,32, ? 47.840 ,0.05,NULL,,00:00.0,09:00.0,5
249,57,IT joke mug - hardware: part of the computer that can be kicked (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
250,56,IT joke mug - hardware: part of the computer that can be kicked (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
251,55,IT joke mug - that behavior is by design (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
252,54,IT joke mug - that behavior is by design (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
253,53,IT joke mug - keyboard not found … press F1 to continue (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
254,52,IT joke mug - keyboard not found … press F1 to continue (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
255,51,Developer joke mug - old C developers never die (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
256,50,Developer joke mug - old C developers never die (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
257,49,Developer joke mug - this code was generated by a tool (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
258,48,Developer joke mug - this code was generated by a tool (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
259,47,Developer joke mug - a foo walks into a bar (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
260,46,Developer joke mug - a foo walks into a bar (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
261,45,Developer joke mug - there are 10 types of people in the world (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
262,44,Developer joke mug - there are 10 types of people in the world (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
263,43,Developer joke mug - understanding recursion requires understanding recursion (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
264,42,Developer joke mug - understanding recursion requires understanding recursion (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
265,41,"Developer joke mug - (hip, hip, array) (Black)",Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
266,40,"Developer joke mug - (hip, hip, array) (White)",White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
267,39,Developer joke mug - inheritance is the OO way to become wealthy (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
268,38,Developer joke mug - inheritance is the OO way to become wealthy (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
269,37,Developer joke mug - when your hammer is C++ (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
270,36,Developer joke mug - when your hammer is C++ (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
271,35,Developer joke mug - fun was unexpected at this time (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
272,34,Developer joke mug - fun was unexpected at this time (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
273,33,Developer joke mug - that's a hardware problem (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
274,32,Developer joke mug - that's a hardware problem (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
275,31,Developer joke mug - Oct 31 = Dec 25 (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
276,30,Developer joke mug - Oct 31 = Dec 25 (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
277,29,DBA joke mug - two types of DBAs (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
278,28,DBA joke mug - two types of DBAs (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
279,27,DBA joke mug - SELECT caffeine FROM mug (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
280,26,DBA joke mug - SELECT caffeine FROM mug (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
281,25,DBA joke mug - I will get you in order (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
282,24,DBA joke mug - I will get you in order (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
283,23,DBA joke mug - it depends (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
284,22,DBA joke mug - it depends (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
285,21,DBA joke mug - you might be a DBA if (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
286,20,DBA joke mug - you might be a DBA if (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
287,19,DBA joke mug - daaaaaa-ta (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
288,18,DBA joke mug - daaaaaa-ta (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
289,17,DBA joke mug - mind if I join you? (Black),Black,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
290,16,DBA joke mug - mind if I join you? (White),White,Each,Each,N/A,N/A,12,1,0,N/A,12,13, ? 19.440 ,0.15,NULL,,00:00.0,10:00.0,5
291,2,USB rocket launcher (Gray),Steel Gray,Each,Each,N/A,N/A,14,1,0,N/A,14,25, ? 37.380 ,0.3,NULL,,00:00.0,11:00.0,5
292,1,USB missile launcher (Green),N/A,Each,Each,N/A,N/A,14,1,0,N/A,14,25, ? 37.380 ,0.3,NULL,,00:00.0,11:00.0,5
293,219,Void fill 400 L bag (White) 400L,N/A,Each,Each,N/A,400L,14,10,0,N/A,14,50, ? 74.750 ,1,NULL,,00:00.0,12:00.0,5
294,218,Void fill 300 L bag (White) 300L,N/A,Each,Each,N/A,300L,14,10,0,N/A,14,37.5, ? 56.060 ,0.75,NULL,,00:00.0,12:00.0,5
295,217,Void fill 200 L bag (White) 200L,N/A,Each,Each,N/A,200L,14,10,0,N/A,14,25, ? 37.380 ,0.5,NULL,,00:00.0,12:00.0,5
296,216,Void fill 100 L bag (White) 100L,N/A,Each,Each,N/A,100L,14,10,0,N/A,14,12.5, ? 18.690 ,0.25,NULL,,00:00.0,12:00.0,5
297,215,Air cushion machine (Blue),N/A,Each,Each,N/A,N/A,20,1,0,N/A,20,1899," ? 2,839.010 ",10,NULL,,00:00.0,12:00.0,5
298,214,Air cushion film 200mmx200mm 325m,N/A,Each,Each,N/A,325m,14,1,0,N/A,14,90, ? 134.550 ,6,NULL,,00:00.0,12:00.0,5
299,213,Air cushion film 200mmx100mm 325m,N/A,Each,Each,N/A,325m,14,1,0,N/A,14,87, ? 130.070 ,5,NULL,,00:00.0,12:00.0,5
300,212,Large  replacement blades 18mm,N/A,Each,Each,N/A,18mm,14,10,0,N/A,14,4.3, ? 6.430 ,0.8,NULL,,00:00.0,12:00.0,5
301,211,Small 9mm replacement blades 9mm,N/A,Each,Each,N/A,9mm,14,10,0,N/A,14,4.1, ? 6.130 ,0.7,NULL,,00:00.0,12:00.0,5
302,210,Packing knife with metal insert blade (Yellow) 18mm,N/A,Each,Each,N/A,18mm,14,5,0,N/A,14,2.4, ? 3.590 ,0.5,NULL,,00:00.0,12:00.0,5
303,209,Packing knife with metal insert blade (Yellow) 9mm,N/A,Each,Each,N/A,9mm,14,5,0,N/A,14,1.89, ? 2.830 ,0.5,NULL,,00:00.0,12:00.0,5
304,208,Permanent marker red 5mm nib (Red) 5mm,N/A,Each,Each,N/A,5mm,14,12,0,N/A,14,2.7, ? 4.040 ,0.1,NULL,,00:00.0,12:00.0,5
305,207,Permanent marker blue 5mm nib (Blue) 5mm,N/A,Each,Each,N/A,5mm,14,12,0,N/A,14,2.7, ? 4.040 ,0.1,NULL,,00:00.0,12:00.0,5
306,206,Permanent marker black 5mm nib (Black) 5mm,N/A,Each,Each,N/A,5mm,14,12,0,N/A,14,2.7, ? 4.040 ,0.1,NULL,,00:00.0,12:00.0,5
307,205,Tape dispenser (Blue),N/A,Each,Each,N/A,N/A,20,10,0,N/A,20,32, ? 47.840 ,1,NULL,,00:00.0,12:00.0,5
308,204,Tape dispenser (Red),N/A,Each,Each,N/A,N/A,20,10,0,N/A,20,32, ? 47.840 ,1,NULL,,00:00.0,12:00.0,5
309,203,Tape dispenser (Black),N/A,Each,Each,N/A,N/A,20,10,0,N/A,20,32, ? 47.840 ,1,NULL,,00:00.0,12:00.0,5
310,202,Red and white urgent  heavy despatch tape  48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,0,N/A,14,4.1, ? 6.130 ,0.7,NULL,,00:00.0,12:00.0,5
311,201,Red and white urgent despatch tape 48mmx75m,N/A,Each,Each,N/A,48mmx75m,14,24,0,N/A,14,3.7, ? 5.530 ,0.5,NULL,,00:00.0,12:00.0,5
312,200,Black and yellow heavy despatch tape 48mmx100m,N/A,Each,Each,N/A,48mmx100m,14,24,0,N/A,14,4.1, ? 6.130 ,0.7,NULL,,00:00.0,12:00.0,5
