Customer Data,,,,,,,,,,,
Customer Key,WWI Customer ID,Customer,Bill To Customer,Category,Buying Group,Primary Contact,Postal Code, Credit Limit ,Valid From,Valid To,Lineage Key
131,131,"Tailspin Toys (Kwethluk, AK)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Darshan Gupta,90759," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
132,132,"Tailspin Toys (Minidoka, ID)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Akanksha Sarma,90324," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
133,133,"Tailspin Toys (Lake Erie Beach, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aino Kallas,90186," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
134,134,"Tailspin Toys (Tavares, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,An Dung Phung,90467," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
135,135,"Tailspin Toys (Terre du Lac, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gaurav Sikdar,90145," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
136,136,"Tailspin Toys (Mount Montgomery, NV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Anirban Sen,90302," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
137,137,"Tailspin Toys (Carbonville, UT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Chandrakanta Benjaree,90339," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
138,138,"Tailspin Toys (Navassa, NC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Badari Chadalavada,90535," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
139,139,"Tailspin Toys (Hardeeville, SC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gabriele Udinesi,90005," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
140,140,"Tailspin Toys (Furley, KS)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Malay PrabhupÄda,90416," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
141,141,"Tailspin Toys (Arrow Rock, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Hedi Koppel,90639," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
142,142,"Tailspin Toys (King Cove, AK)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Denisa Ioveanu,90457," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
143,143,"Tailspin Toys (Ashtabula, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Vaclav Polaskova,90119," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
144,144,"Tailspin Toys (Larose, LA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Pramod Nishad,90342," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
145,145,"Tailspin Toys (Manahawkin, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Prasong Tuntayakul,90686," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
146,146,"Tailspin Toys (Belgreen, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aija Zvaigzne,90735," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
147,147,"Tailspin Toys (Fishtail, MT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gilbert Pelland,90432," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
148,148,"Tailspin Toys (Baraboo, WI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Marcella Napolitani,90165," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
149,149,"Tailspin Toys (Inguadona, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Femke Hollenberg,90245," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
150,150,"Tailspin Toys (Corfu, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Brita Jarvi,90690," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
151,151,"Tailspin Toys (Antares, AZ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Donato Araujo,90385," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
152,152,"Tailspin Toys (Sun River, MT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aleksander Jarvi,90309," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
153,153,"Tailspin Toys (Marcell, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Malati Shenoy,90729," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
154,154,"Tailspin Toys (Eden Valley, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gui-Hyun Ji,90367," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
155,155,"Tailspin Toys (Arbor Vitae, WI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Michal Polaskova,90333," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
156,156,"Tailspin Toys (Hollywood Park, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Dilara Ayhan,90405," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
157,157,"Tailspin Toys (Saks, AL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Peter Macias,90362," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
158,158,"Tailspin Toys (Donner, LA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kurt Lukes,90567," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
159,159,"Tailspin Toys (Saint Louis Park, MN)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Beatrise Bite,90401," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
160,160,"Tailspin Toys (Crary, ND)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Bishwanath Ghosh,90248," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
161,161,"Tailspin Toys (Aspen Park, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gianguido Lucchesi,90644," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
162,162,"Tailspin Toys (Glen Park, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nu Bach,90026," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
163,163,"Tailspin Toys (Panaca, NV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ivonna Ene,90297," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
164,164,"Tailspin Toys (Rothsville, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ceyhun sahin,90538," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
165,165,"Tailspin Toys (Topstone, CT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Tian Peng,90675," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
166,166,"Tailspin Toys (McCamey, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Vlastimil Bohuslav,90434," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
167,167,"Tailspin Toys (Rockwall, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nejc Vosnik,90294," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
168,168,"Tailspin Toys (Seagraves, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Anindo Mazumdar,90453," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
169,169,"Tailspin Toys (Sinclair, WY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Nils Balodis,90401," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
170,170,"Tailspin Toys (Eastchester, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Daniella Barbosa,90031," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
171,171,"Tailspin Toys (Ortley Beach, NJ)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Raymond Levesque,90179," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
172,172,"Tailspin Toys (Madrone, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Raymond Desforges,90617," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
173,173,"Tailspin Toys (Wappingers Falls, NY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Raju Atluri,90681," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
174,174,"Tailspin Toys (Astor Park, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Matyas Bohuslav,90179," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
175,175,"Tailspin Toys (San Acacia, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Julio Correa,90445," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
176,176,"Tailspin Toys (Malott, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Banshari De,90015," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
177,177,"Tailspin Toys (Orrtanna, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ngai Lam,90008," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
178,178,"Tailspin Toys (Armstrong Creek, WI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Hyun-Doo Song,90397," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
179,179,"Tailspin Toys (Hiteman, IA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Gabriela Srbova,90212," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
180,180,"Tailspin Toys (Caselton, NV)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Serkan senturk,90747," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
181,181,"Tailspin Toys (Heilwood, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Aahlada Thota,90300," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
182,182,"Tailspin Toys (Hayes Center, NE)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ayberk sahin,90352," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
183,183,"Tailspin Toys (Tierra Verde, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Kaan Tekin,90195," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
184,184,"Tailspin Toys (South Euclid, OH)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lata Khandke,90551," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
185,185,"Tailspin Toys (Vidrine, LA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Truman Eder,90272," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
186,186,"Tailspin Toys (Placer, OR)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Lorraine Paulet,90628," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
187,187,"Tailspin Toys (Brown City, MI)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Biplab De,90503," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
188,188,"Tailspin Toys (Premont, TX)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Rachelle Brasseur,90375," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
189,189,"Tailspin Toys (Wilkes-Barre, PA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Sara Charlton,90766," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
190,190,"Tailspin Toys (Teutopolis, IL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ramesh Mukherjee,90591," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
191,191,"Tailspin Toys (Orchard Hill, GA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Ester Ahmadian,90698," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
192,192,"Tailspin Toys (Optimo, NM)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Daniel Magnusson,90080," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
193,193,"Tailspin Toys (Knifley, KY)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Jack Carpenter,90298," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
194,194,"Tailspin Toys (Naples Park, FL)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Thomas Fischer,90386," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
195,195,"Tailspin Toys (Lesslie, SC)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Viollette Monty,90771," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
196,196,"Tailspin Toys (Howells, NE)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Alinne Cardoso,90444," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
197,197,"Tailspin Toys (Magalia, CA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Mani Poddar,90226," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
198,198,"Tailspin Toys (Buell, MO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Deakshitulu Mokkapati,90113," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
199,199,"Tailspin Toys (Antonito, CO)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Cezar Pavel,90346," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
200,200,"Tailspin Toys (Tooele, UT)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Fanni Benko,90100," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
201,201,"Tailspin Toys (Skyway, WA)",Tailspin Toys (Head Office),Novelty Shop,Tailspin Toys,Brenda Morgan,90588," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
202,401,Wingtip Toys (Head Office),Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Olga Alexandrova,90625," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
203,402,"Wingtip Toys (Black Lick, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Maris Baltins,90477," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
204,403,"Wingtip Toys (Queen Valley, AZ)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Parsa Reuser,90588," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
205,404,"Wingtip Toys (Penns Creek, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Duleep Srivastava,90195," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
206,405,"Wingtip Toys (Bourbonnais, IL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Miran Nikolic,90582," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
207,406,"Wingtip Toys (Tuscaloosa, AL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Calin Bojin,90011," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
208,407,"Wingtip Toys (Mooringsport, LA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Lang Le,90387," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
209,408,"Wingtip Toys (Rockwall, TX)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Bhaagyalakshmi Muppavarapu,90500," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
210,409,"Wingtip Toys (Orick, CA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Dimitry Nechita,90329," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
211,410,"Wingtip Toys (Bernstein, TX)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Miroslav Kohout,90314," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
212,411,"Wingtip Toys (Edmund, WI)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Fransje Mutlu,90777," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
213,412,"Wingtip Toys (Bozeman Hot Springs, MT)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Chati Ornlamai,90708," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
214,413,"Wingtip Toys (Truscott, TX)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Raine Knihtila,90010," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
215,414,"Wingtip Toys (Rose Tree, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Lan Chu,90710," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
216,415,"Wingtip Toys (Leathersville, GA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Maurice English,90402," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
217,416,"Wingtip Toys (Necedah, WI)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Irene Sepp,90049," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
218,417,"Wingtip Toys (Chetek, WI)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Chandranath Bose,90193," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
219,418,"Wingtip Toys (Yaak, MT)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Ana Julijana Isa,90284," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
220,419,"Wingtip Toys (Compass Lake, FL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Gireesh Bhogireddy,90212," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
221,420,"Wingtip Toys (Herlong, CA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Premwadee Atitarn,90358," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
222,421,"Wingtip Toys (Highland Home, AL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Nishant Patil,90035," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
223,422,"Wingtip Toys (Naches, WA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Rohan Das,90729," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
224,423,"Wingtip Toys (Baldwin City, KS)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Aamdaal Kamasamudram,90351," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
225,424,"Wingtip Toys (Heartwell, NE)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Baebeesarasvati Kamasamudram,90298," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
226,425,"Wingtip Toys (Bethel Acres, OK)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Marcello Dellucci,90530," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
227,426,"Wingtip Toys (Willow Valley, AZ)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Mee-Kyong Sin,90041," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
228,427,"Wingtip Toys (Athol Springs, NY)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Ivica LuÄic,90285," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
229,428,"Wingtip Toys (Paw Paw Lake, MI)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Vinicius Correa,90635," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
230,429,"Wingtip Toys (Lilbourn, MO)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Fabio Pena,90025," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
231,430,"Wingtip Toys (Lost River, ID)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Lakshmi Roy,90272," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
232,431,"Wingtip Toys (Rosa Sánchez, PR)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Selma Seppanen,90726," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
233,432,"Wingtip Toys (Vamo, FL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Bay Ly,90333," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
234,433,"Wingtip Toys (Balko, OK)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Adirake Saenamuang,90584," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
235,434,"Wingtip Toys (Lime Lake, NY)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Tarja Penttila,90667," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
236,435,"Wingtip Toys (Teutopolis, IL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Devendranath Huq,90269," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
237,436,"Wingtip Toys (Gargatha, VA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Enes Olsson,90752," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
238,437,"Wingtip Toys (Cadogan, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Vanja Grgic,90357," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
239,438,"Wingtip Toys (Lucasville, OH)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Dayaram Mishra,90391," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
240,439,"Wingtip Toys (Cylon, WI)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Mina Omidzadeh,90266," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
241,440,"Wingtip Toys (Asher, OK)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Kadir Usenuly,90683," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
242,441,"Wingtip Toys (Keosauqua, IA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Kajsa Jakobsson,90281," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
243,442,"Wingtip Toys (Homer City, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Rahul Ghate,90713," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
244,443,"Wingtip Toys (Berville, MI)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Lien Banh,90628," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
245,444,"Wingtip Toys (Tea, SD)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Divyendu Chakraborty,90641," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
246,445,"Wingtip Toys (Dacono, CO)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,An Dung Ngo,90289," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
247,446,"Wingtip Toys (Saint Landry, LA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Chetana Kamath,90033," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
248,447,"Wingtip Toys (Coin, IA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Premwadee Saowaluk,90458," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
249,448,"Wingtip Toys (Salt Wells, NV)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Jae-Hwa Min,90058," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
250,449,"Wingtip Toys (Delray, WV)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Catalina Nechita,90317," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
251,450,"Wingtip Toys (Mount Summit, IN)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Constanza Laureano,90142," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
252,451,"Wingtip Toys (Smoot, WY)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Aakriti Bhamidipati,90071," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
253,452,"Wingtip Toys (Lake Davis, CA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Himadri PrabhupÄda,90719," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
254,453,"Wingtip Toys (Stanardsville, VA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Bryan Helms,90739," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
255,454,"Wingtip Toys (Corcovado, PR)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Harri Kask,90498," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
256,455,"Wingtip Toys (Taft Heights, CA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Ilse Sandell,90304," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
257,456,"Wingtip Toys (West Hempstead, NY)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Subhash Matondkar,90799," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
258,457,"Wingtip Toys (Portales, NM)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Eesvaraavu Ankitham,90304," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
259,458,"Wingtip Toys (Coker, AL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Miguel Paez,90364," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
260,459,"Wingtip Toys (Haydenville, OH)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Tobias Gruber,90519," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
261,460,"Wingtip Toys (Mayhill, NM)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Daniela Dumina,90741," ? 100,000.000000 ",00:00.0,###############################################################################################################################################################################################################################################################,2
